"","Cruise","Station","DateTime","LatDec","LonDec","DaysPostSpawn"
"1","GU1608",229,2016-06-19 09:37:21,37.8266666666667,72.5716666666667,12
"2","GU1608",234,2016-06-19 20:58:56,37,73.5,5
"4","GU1608",234,2016-06-19 20:58:56,37,73.5,6
"7","GU1608",235,2016-06-19 22:44:38,37.0016666666667,73.6983333333333,5
"8","GU1608",235,2016-06-19 22:44:38,37.0016666666667,73.6983333333333,6
"11","GU1608",235,2016-06-19 22:44:38,37.0016666666667,73.6983333333333,10
"12","GU1608",236,2016-06-20 00:22:25,37.0016666666667,73.8983333333333,4
"17","HB1603",21,2016-07-02 00:00:46,37.3266666666667,72.8716666666667,11
"18","HB1603",21,2016-07-02 00:00:46,37.3266666666667,72.8716666666667,7
"19","HB1603",50,2016-07-08 00:10:40,39.0433333333333,67.9166666666667,6
"21","HB1603",50,2016-07-08 00:10:40,39.0433333333333,67.9166666666667,7
"22","HB1603",50,2016-07-08 00:10:40,39.0433333333333,67.9166666666667,8
"32","HB1603",50,2016-07-08 00:10:40,39.0433333333333,67.9166666666667,5
"33","HB1603",50,2016-07-07 23:40:23,39.0666666666667,67.9033333333333,7
"36","HB1603",51,2016-07-08 01:14:01,38.9116666666667,67.9416666666667,7
"37","HB1603",51,2016-07-08 01:14:01,38.9116666666667,67.9416666666667,6
"38","HB1603",51,2016-07-08 01:14:01,38.9116666666667,67.9416666666667,4
"43","HB1603",51,2016-07-08 01:14:01,38.9116666666667,67.9416666666667,8
"46","HB1603",51,2016-07-08 01:26:07,38.905,67.9433333333333,6
"47","HB1603",52,2016-07-08 02:34:39,38.775,67.9783333333333,6
"48","HB1603",53,2016-07-08 04:00:47,38.6516666666667,68.0033333333333,7
"49","HB1603",53,2016-07-08 04:00:47,38.6516666666667,68.0033333333333,4
"50","HB1603",53,2016-07-08 04:00:47,38.6516666666667,68.0033333333333,8
"54","HB1603",68,2016-07-12 22:12:29,38.605,74.0416666666667,4
