"","Date","Cruise","Station","Operation","Latitude","Longitude","BottomDepth","SST","Nbluefin","Abundance"
"1","18-JUN-16 09.32.24.000000000 PM","GU1608",224,"BON/CTD",38.18,-71.4167,3061,23.54,1,0.80026839770877
"2","19-JUN-16 09.37.55.000000000 AM","GU1608",229,"BON/CTD",37.8267,-72.5717,2911,23.65,6,3.60297938680062
"3","19-JUN-16 02.09.41.000000000 PM","GU1608",231,"BON/CTD",37.4817,-73.1167,2916,24.26,2,1.57911199244456
"4",NA,"GU1608",234,"BB/BON",NA,NA,NA,NA,2,NA
"5","19-JUN-16 08.59.24.000000000 PM","GU1608",234,"BON/CTD",37,-73.5,2862,25.98,23,13.5302994992884
"6",NA,"GU1608",235,"BB/BON",NA,NA,NA,NA,1,NA
"7","19-JUN-16 10.45.04.000000000 PM","GU1608",235,"BON/CTD",37.0017,-73.6983,2721,25.16,43,27.4700973984491
"8",NA,"GU1608",236,"BB/BON",NA,NA,NA,NA,3,NA
"9","20-JUN-16 12.22.52.000000000 AM","GU1608",236,"BON/CTD",37.0017,-73.8983,2490,24.62,25,19.3990473575513
"10","20-JUN-16 05.50.41.000000000 AM","GU1608",240,"BON/CTD",36.6483,-74.3017,2037,26.7,1,0.712137563065259
"11","01-JUL-16 02.25.16.000000000 AM","HB1603",16,"BON/CTD",37.4133,-71.905,3351,28.33,1,4.90969420283785
"12",NA,"HB1603",17,"CTD/IKMT",NA,NA,NA,NA,3,NA
"13",NA,"HB1603",21,"CTD/IKMT",NA,NA,NA,NA,2,NA
"14","04-JUL-16 10.59.26.000000000 PM","HB1603",36,"BON/CTD",38.3833,-69.875,3529,28.05,1,3.31843260440578
"15","06-JUL-16 03.59.03.000000000 PM","HB1603",42,"BON/CTD",37.8367,-68.9317,4124,27.69,1,2.67483611687584
"16","07-JUL-16 02.35.29.000000000 AM","HB1603",45,"BON/CTD",37.3567,-68.2767,4831,26.64,1,2.98096630766538
"17","07-JUL-16 03.50.46.000000000 PM","HB1603",49,"BON/CTD",38.2567,-68.11,4406,27.8,5,9.3948062145942
"18","07-JUL-16 11.40.24.000000000 PM","HB1603",50,"BON/CTD",39.0667,-67.9033,3629,25.62,7,14.6389619868803
"19","08-JUL-16 12.10.36.000000000 AM","HB1603",50,"CTD/IKMT",39.0433,-67.9167,3724,25.56,49,NA
"20","08-JUL-16 01.25.34.000000000 AM","HB1603",51,"BON/CTD",38.905,-67.9433,3805,25.56,4,17.8991622318946
"21","08-JUL-16 01.14.00.000000000 AM","HB1603",51,"CTD/IKMT",38.9117,-67.9417,3793,25.56,20,NA
"22","08-JUL-16 02.34.05.000000000 AM","HB1603",52,"BON/CTD",38.775,-67.9783,4053,25.67,5,18.5846307823132
"23","08-JUL-16 04.00.37.000000000 AM","HB1603",53,"BON/CTD",38.6517,-68.0033,4170,25.85,9,30.9996893277322
"24","12-JUL-16 10.12.23.000000000 PM","HB1603",68,"BON/CTD",38.605,-74.0417,55,24.57,1,1.91904579138496
"25","13-JUL-16 03.54.49.000000000 PM","HB1603",70,"BON/CTD",39.38,-71.6883,2200,23.94,2,6.15103052486774
"26","31-JUL-16 10.45.20.000000000 PM","HB1603",121,"BON/CTD",39.5717,-70.99,2450,25.99,6,15.1383518585496
"27","01-AUG-16 10.47.03.000000000 PM","HB1603",125,"BON/CTD",39.7333,-70.1267,2058,26.13,1,2.76296483821003
