"","CRUISE_NAME","GEAR","STATION","LENGTH","DaveCount","COUNT_AT_LENGTH"
"1","GU1608","2B1",234,3.5,1,NA
"2","GU1608","2B1",234,3.8,1,NA
"3","GU1608","2B1",235,3.4,1,NA
"4","GU1608","2B1",235,3.7,1,NA
"5","GU1608","2B1",236,3.7,2,NA
"6","GU1608","6B3I",229,3.3,NA,1
"7","GU1608","6B3I",229,4.8,NA,1
"8","GU1608","6B3I",231,4.8,NA,1
"9","GU1608","6B3I",234,2,NA,1
"10","GU1608","6B3I",234,3,NA,8
"11","GU1608","6B3I",234,3.1,NA,3
"12","GU1608","6B3I",234,3.2,NA,1
"13","GU1608","6B3I",234,3.3,NA,1
"14","GU1608","6B3I",234,3.5,NA,1
"15","GU1608","6B3I",235,2.8,NA,2
"16","GU1608","6B3I",235,3,NA,3
"17","GU1608","6B3I",235,3.2,NA,1
"18","GU1608","6B3I",235,3.5,NA,7
"19","GU1608","6B3I",235,3.8,NA,8
"20","GU1608","6B3I",235,4,NA,2
"21","GU1608","6B3I",236,2.7,NA,2
"22","GU1608","6B3I",236,2.8,NA,4
"23","GU1608","6B3I",236,2.9,NA,3
"24","GU1608","6B3I",236,3,NA,1
"25","GU1608","6B3I",236,3.1,NA,2
"26","GU1608","6B3I",236,3.2,NA,2
"27","GU1608","6B3I",236,3.3,NA,1
"28","GU1608","6B3I",240,8.2,NA,1
"29","GU1608","6B3Z",224,3.4,1,NA
"30","GU1608","6B3Z",229,3,1,NA
"31","GU1608","6B3Z",229,3.3,1,NA
"32","GU1608","6B3Z",229,6,1,NA
"33","GU1608","6B3Z",231,3.4,1,NA
"34","GU1608","6B3Z",234,2.9,1,NA
"35","GU1608","6B3Z",234,3.2,2,NA
"36","GU1608","6B3Z",234,3.5,2,NA
"37","GU1608","6B3Z",234,3.6,1,NA
"38","GU1608","6B3Z",234,3.8,1,NA
"39","GU1608","6B3Z",234,3.9,1,NA
"40","GU1608","6B3Z",235,2.9,1,NA
"41","GU1608","6B3Z",235,3,1,NA
"42","GU1608","6B3Z",235,3.3,1,NA
"43","GU1608","6B3Z",235,3.5,1,NA
"44","GU1608","6B3Z",235,3.6,1,NA
"45","GU1608","6B3Z",235,3.8,2,NA
"46","GU1608","6B3Z",235,3.9,4,NA
"47","GU1608","6B3Z",235,4,4,NA
"48","GU1608","6B3Z",235,4.1,1,NA
"49","GU1608","6B3Z",235,4.2,1,NA
"50","GU1608","6B3Z",235,4.3,1,NA
"51","GU1608","6B3Z",235,5.6,1,NA
"52","GU1608","6B3Z",235,6.6,1,NA
"53","GU1608","6B3Z",236,2.5,1,NA
"54","GU1608","6B3Z",236,2.9,1,NA
"55","GU1608","6B3Z",236,3,1,NA
"56","GU1608","6B3Z",236,3.1,2,NA
"57","GU1608","6B3Z",236,3.4,1,NA
"58","GU1608","6B3Z",236,3.5,1,NA
"59","GU1608","6B3Z",236,3.6,1,NA
"60","HB1603","2n3",17,5.9,1,NA
"61","HB1603","2N3",17,4.6,1,NA
"62","HB1603","2N3",17,4.7,1,NA
"63","HB1603","2N3",50,2.1,1,NA
"64","HB1603","2N3",50,3.2,1,NA
"65","HB1603","2N3",50,3.3,3,NA
"66","HB1603","2N3",50,3.4,2,NA
"67","HB1603","2N3",50,3.5,3,NA
"68","HB1603","2N3",50,3.6,3,NA
"69","HB1603","2N3",50,3.7,1,NA
"70","HB1603","2N3",50,3.8,4,NA
"71","HB1603","2N3",50,3.9,2,NA
"72","HB1603","2N3",50,4,5,NA
"73","HB1603","2N3",50,4.1,8,NA
"74","HB1603","2N3",50,4.2,3,NA
"75","HB1603","2N3",50,4.3,6,NA
"76","HB1603","2N3",50,4.4,2,NA
"77","HB1603","2N3",50,4.6,1,NA
"78","HB1603","2N3",50,4.7,3,NA
"79","HB1603","2N3",50,4.8,1,NA
"80","HB1603","2N3",51,3.2,1,NA
"81","HB1603","2N3",51,3.3,1,NA
"82","HB1603","2N3",51,3.5,1,NA
"83","HB1603","2N3",51,3.6,1,NA
"84","HB1603","2N3",51,3.7,2,NA
"85","HB1603","2N3",51,3.8,1,NA
"86","HB1603","2N3",51,3.9,2,NA
"87","HB1603","2N3",51,4,4,NA
"88","HB1603","2N3",51,4.1,2,NA
"89","HB1603","2N3",51,4.4,2,NA
"90","HB1603","2N3",51,4.6,1,NA
"91","HB1603","2N3",51,5,1,NA
"92","HB1603","2N3",51,5.5,1,NA
"93","HB1603","6B3",16,2.7,NA,1
"94","HB1603","6B3",36,3.5,NA,1
"95","HB1603","6B3",42,4.3,NA,1
"96","HB1603","6B3",51,3,NA,1
"97","HB1603","6B3",51,3.3,NA,2
"98","HB1603","6B3",52,2.2,NA,1
"99","HB1603","6B3",52,3.5,NA,1
"100","HB1603","6B3",52,3.8,NA,1
"101","HB1603","6B3",52,3.9,NA,1
"102","HB1603","6B3",53,3.4,NA,1
"103","HB1603","6B3",70,4.7,NA,1
"104","HB1603","6B3",125,3.5,NA,1
